"","GEO_ID","NAME","education","gini","med_income","poverty","county","state","hiv_rate","cluster","county_long"
"1120","0500000US22011","Beauregard Parish, Louisiana",87.5,0.4388,57130,13.8,"Beauregard","Louisiana",167,1,"Beauregard Parish"
"1121","0500000US22013","Bienville Parish, Louisiana",86.5,0.4764,32328,29.5,"Bienville","Louisiana",810,4,"Bienville Parish"
"1122","0500000US22015","Bossier Parish, Louisiana",90.4,0.4668,58289,16.9,"Bossier","Louisiana",514,2,"Bossier Parish"
"1123","0500000US22017","Caddo Parish, Louisiana",86.5,0.5273,43153,22.9,"Caddo","Louisiana",540,2,"Caddo Parish"
"1124","0500000US22019","Calcasieu Parish, Louisiana",88.2,0.4753,59470,16.7,"Calcasieu","Louisiana",361,2,"Calcasieu Parish"
"1125","0500000US22021","Caldwell Parish, Louisiana",76.8,0.5466,41861,22.9,"Caldwell","Louisiana",347,4,"Caldwell Parish"
"1126","0500000US22023","Cameron Parish, Louisiana",86.1,0.4122,64525,9.5,"Cameron","Louisiana",327,1,"Cameron Parish"
"1127","0500000US22025","Catahoula Parish, Louisiana",72.8,0.4691,42232,26.7,"Catahoula","Louisiana",507,4,"Catahoula Parish"
"1128","0500000US22027","Claiborne Parish, Louisiana",77.9,0.51,29574,35.1,"Claiborne","Louisiana",596,5,"Claiborne Parish"
"1129","0500000US22029","Concordia Parish, Louisiana",81.2,0.5336,36157,28.6,"Concordia","Louisiana",261,5,"Concordia Parish"
"1130","0500000US22031","De Soto Parish, Louisiana",82.5,0.4943,45364,21.6,"De Soto","Louisiana",241,4,"De Soto Parish"
"1131","0500000US22033","East Baton Rouge Parish, Louisiana",90.4,0.5109,58167,17.4,"East Baton Rouge","Louisiana",1088,2,"East Baton Rouge Parish"
"1132","0500000US22035","East Carroll Parish, Louisiana",65.6,0.686,25049,50.7,"East Carroll","Louisiana",525,5,"East Carroll Parish"
"1133","0500000US22037","East Feliciana Parish, Louisiana",81.2,0.4852,58125,14.9,"East Feliciana","Louisiana",254,4,"East Feliciana Parish"
"1134","0500000US22039","Evangeline Parish, Louisiana",74.9,0.4923,32465,29,"Evangeline","Louisiana",318,5,"Evangeline Parish"
"1135","0500000US22041","Franklin Parish, Louisiana",76.9,0.4979,38250,28,"Franklin","Louisiana",376,4,"Franklin Parish"
"1136","0500000US22043","Grant Parish, Louisiana",81.2,0.4374,52779,15.9,"Grant","Louisiana",312,4,"Grant Parish"
"1137","0500000US22045","Iberia Parish, Louisiana",83.5,0.4638,52278,22.3,"Iberia","Louisiana",434,4,"Iberia Parish"
"1138","0500000US22047","Iberville Parish, Louisiana",79.8,0.4671,52994,17,"Iberville","Louisiana",911,4,"Iberville Parish"
"1139","0500000US22049","Jackson Parish, Louisiana",83.3,0.4682,41298,21,"Jackson","Louisiana",494,4,"Jackson Parish"
"1140","0500000US22051","Jefferson Parish, Louisiana",86.8,0.4808,58638,15.2,"Jefferson","Louisiana",574,2,"Jefferson Parish"
"1141","0500000US22053","Jefferson Davis Parish, Louisiana",82.9,0.4807,45578,17.9,"Jefferson Davis","Louisiana",147,4,"Jefferson Davis Parish"
"1142","0500000US22055","Lafayette Parish, Louisiana",89.3,0.4959,63311,16.7,"Lafayette","Louisiana",417,2,"Lafayette Parish"
"1143","0500000US22057","Lafourche Parish, Louisiana",80.9,0.4789,58747,17.4,"Lafourche","Louisiana",196,4,"Lafourche Parish"
"1144","0500000US22061","Lincoln Parish, Louisiana",88.9,0.5231,38458,30.5,"Lincoln","Louisiana",147,4,"Lincoln Parish"
"1145","0500000US22063","Livingston Parish, Louisiana",87.4,0.402,71547,11.2,"Livingston","Louisiana",324,1,"Livingston Parish"
"1146","0500000US22065","Madison Parish, Louisiana",75.4,0.503,36875,36.1,"Madison","Louisiana",406,5,"Madison Parish"
"1147","0500000US22067","Morehouse Parish, Louisiana",80,0.4924,33758,26.5,"Morehouse","Louisiana",442,4,"Morehouse Parish"
"1148","0500000US22069","Natchitoches Parish, Louisiana",87,0.5312,33965,30.1,"Natchitoches","Louisiana",437,5,"Natchitoches Parish"
"1149","0500000US22071","Orleans Parish, Louisiana",88.2,0.5638,45594,23,"Orleans","Louisiana",1503,2,"Orleans Parish"
"1150","0500000US22073","Ouachita Parish, Louisiana",88.2,0.5203,46021,23.3,"Ouachita","Louisiana",490,2,"Ouachita Parish"
"1151","0500000US22075","Plaquemines Parish, Louisiana",84.9,0.4706,69970,17.8,"Plaquemines","Louisiana",261,2,"Plaquemines Parish"
"1152","0500000US22077","Pointe Coupee Parish, Louisiana",81.1,0.5078,50431,20.6,"Pointe Coupee","Louisiana",365,4,"Pointe Coupee Parish"
"1153","0500000US22079","Rapides Parish, Louisiana",87,0.4827,49639,18.7,"Rapides","Louisiana",407,2,"Rapides Parish"
"1154","0500000US22081","Red River Parish, Louisiana",81.5,0.4528,41227,26.6,"Red River","Louisiana",4,4,"Red River Parish"
"1155","0500000US22083","Richland Parish, Louisiana",78.6,0.4886,42956,29.5,"Richland","Louisiana",79,4,"Richland Parish"
"1156","0500000US22085","Sabine Parish, Louisiana",86.1,0.4956,39975,20,"Sabine","Louisiana",151,4,"Sabine Parish"
"1157","0500000US22087","St. Bernard Parish, Louisiana",81.5,0.467,52538,23.2,"St. Bernard","Louisiana",616,4,"St. Bernard Parish"
"1158","0500000US22089","St. Charles Parish, Louisiana",90.7,0.4403,72088,11.2,"St. Charles","Louisiana",524,1,"St. Charles Parish"
"1159","0500000US22091","St. Helena Parish, Louisiana",77.4,0.4901,40857,22.7,"St. Helena","Louisiana",1005,4,"St. Helena Parish"
"1160","0500000US22093","St. James Parish, Louisiana",86,0.4422,56207,14.4,"St. James","Louisiana",552,2,"St. James Parish"
"1161","0500000US22095","St. John the Baptist Parish, Louisiana",86.1,0.4471,60743,15.4,"St. John the Baptist","Louisiana",217,2,"St. John the Baptist Parish"
"1162","0500000US22097","St. Landry Parish, Louisiana",78.2,0.4933,41068,24.8,"St. Landry","Louisiana",411,4,"St. Landry Parish"
"1163","0500000US22099","St. Martin Parish, Louisiana",83.8,0.4689,46711,17.4,"St. Martin","Louisiana",119,4,"St. Martin Parish"
"1164","0500000US22101","St. Mary Parish, Louisiana",81.1,0.4784,43097,19.8,"St. Mary","Louisiana",183,4,"St. Mary Parish"
"1165","0500000US22103","St. Tammany Parish, Louisiana",91.3,0.4636,70986,11,"St. Tammany","Louisiana",264,2,"St. Tammany Parish"
"1166","0500000US22105","Tangipahoa Parish, Louisiana",82.4,0.4855,50659,20.2,"Tangipahoa","Louisiana",249,4,"Tangipahoa Parish"
"1167","0500000US22107","Tensas Parish, Louisiana",77.8,0.4622,32962,33.2,"Tensas","Louisiana",7,5,"Tensas Parish"
